"Former citizenship","Age","1991 Total","1991 Males","1991 Females","1992 Total","1992 Males","1992 Females","1993 Total","1993 Males","1993 Females","1994 Total","1994 Males","1994 Females","1995 Total","1995 Males","1995 Females","1996 Total","1996 Males","1996 Females","1997 Total","1997 Males","1997 Females","1998 Total","1998 Males","1998 Females","1999 Total","1999 Males","1999 Females","2000 Total","2000 Males","2000 Females","2001 Total","2001 Males","2001 Females","2002 Total","2002 Males","2002 Females","2003 Total","2003 Males","2003 Females","2004 Total","2004 Males","2004 Females","2005 Total","2005 Males","2005 Females","2006 Total","2006 Males","2006 Females","2007 Total","2007 Males","2007 Females","2008 Total","2008 Males","2008 Females","2009 Total","2009 Males","2009 Females","2010 Total","2010 Males","2010 Females","2011 Total","2011 Males","2011 Females","2012 Total","2012 Males","2012 Females","2013 Total","2013 Males","2013 Females","2014 Total","2014 Males","2014 Females","2015 Total","2015 Males","2015 Females","2016 Total","2016 Males","2016 Females","2017 Total","2017 Males","2017 Females","2018 Total","2018 Males","2018 Females"
"Romania","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,3,1,2,4,3,1,2,0,2,10,6,4,12,7,5,4,1,3,12,7,5,12,6,6,4,2,2,2,0,2,12,5,7,7,2,5,10,5,5,24,11,13,5,5,0,4,1,3,3,1,2
"Slovenia","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,1,0,1,1,0,1,0,0,0,1,1,0,2,0,2,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,1,0,0,0,0
"Slovakia","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,2,2,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,3,2,1,1,0,1,3,1,2,2,0,2,9,5,4,1,0,1,2,1,1,1,1,0,4,2,2,2,0,2,5,4,1,2,1,1,2,1,1,3,1,2
"Albania","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,2,0,2,2,2,0,4,1,3,1,1,0,4,1,3,10,5,5,11,2,9,0,0,0,0,0,0,0,0,0,1,1,0,3,2,1,2,1,1,9,5,4,0,0,0,1,1,0
"Bosnia and Herzegovina","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,4,2,2,4,2,2,3,1,2,1,0,1,1,0,1,17,11,6,7,2,5,24,12,12,14,4,10,16,9,7,9,4,5,6,4,2,22,11,11,9,5,4,1,0,1,4,1,3,4,1,3,2,1,1,2,1,1
"Belarus","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,2,1,6,2,4,2,0,2,3,0,3,4,1,3,1,0,1,0,0,0,2,1,1,1,0,1,7,3,4,4,1,3,1,0,1,3,1,2,1,0,1,0,0,0,0,0,0
"Switzerland","Total",3,2,1,0,0,0,0,0,0,7,2,5,1,1,0,0,0,0,3,1,2,7,2,5,2,1,1,1,0,1,1,0,1,2,0,2,0,0,0,3,2,1,1,0,1,3,0,3,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,2,3,2,1,0,0,0
"Serbia and Montenegro","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,32,41,70,35,35,63,36,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Croatia","Total",0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,3,2,1,0,0,0,5,4,1,1,1,0,6,3,3,30,11,19,6,1,5,3,0,3,10,8,2,29,12,17,2,2,0,6,4,2,3,1,2,9,3,6,0,0,0,1,1,0,0,0,0,4,1,3,3,3,0,5,4,1,0,0,0,4,3,1,0,0,0
"Moldova","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2,1,1,0,0,0,2,0,2,0,0,0,0,0,0,3,2,1,1,0,1,1,1,0,0,0,0,2,1,1,0,0,0
