"Value unit","Employment","Economic activity","2008Q1","2008Q2","2008Q3","2008Q4","2009Q1","2009Q2","2009Q3","2009Q4","2010Q1","2010Q2","2010Q3","2010Q4","2011Q1","2011Q2","2011Q3","2011Q4","2012Q1","2012Q2","2012Q3","2012Q4","2013Q1","2013Q2","2013Q3","2013Q4","2014Q1","2014Q2","2014Q3","2014Q4","2015Q1","2015Q2","2015Q3","2015Q4","2016Q1","2016Q2","2016Q3","2016Q4","2017Q1","2017Q2","2017Q3","2017Q4","2018Q1","2018Q2","2018Q3","2018Q4","2019Q1","2019Q2","2019Q3","2019Q4","2020Q1","2020Q2"
"Hours worked","Employees","R-U. Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",2397500.0,2519600.0,2455000.0,2541200.0,2418300.0,2245900.0,2324200.0,2449200.0,2397600.0,2247600.0,2360300.0,2433100.0,2353100.0,2326800.0,2349900.0,2425000.0,2390600.0,2244500.0,2307200.0,2407900.0,2349000.0,2368300.0,2390900.0,2436500.0,2456600.0,2336600.0,2434300.0,2507400.0,2471700.0,2403600.0,2471000.0,2699500.0,2413400.0,2468200.0,2438100.0,2559100.0,2538200.0,2405300.0,2506400.0,2622700.0,2568000.0,2528500.0,2548400.0,2705600.0,2782800.0,2600500.0,2535700.0,2758600.0,2738600.0,2201500.0
"Hours worked","Employees","Total - All activities",69029200.0,71633900.0,67034100.0,69605700.0,62617000.0,57246000.0,57546400.0,61866600.0,59903700.0,56281900.0,57647500.0,61267400.0,59134200.0,58385200.0,58788800.0,62469100.0,60945000.0,57744800.0,58930200.0,63038800.0,60789500.0,60951100.0,60683400.0,64526100.0,63281500.0,60119300.0,61862900.0,65825000.0,63995700.0,60866500.0,63960200.0,69555400.0,64728100.0,66398500.0,65897400.0,71281900.0,69005200.0,66966800.0,68680400.0,73917400.0,70685500.0,69786700.0,69036700.0,74685300.0,74909400.0,69705600.0,66820500.0,74036900.0,71462800.0,61642400.0
"Hours worked","Self employed","A. Agriculture, forestry and fishing",538400.0,509300.0,469700.0,518600.0,546900.0,526200.0,493600.0,534000.0,525800.0,504700.0,481300.0,507500.0,545300.0,520100.0,516300.0,558400.0,590000.0,626200.0,539400.0,570900.0,605900.0,565600.0,514800.0,551000.0,619500.0,546100.0,508300.0,553800.0,562200.0,542600.0,502700.0,552800.0,537200.0,510100.0,487300.0,512000.0,513900.0,473300.0,444600.0,466100.0,487200.0,459700.0,427300.0,466500.0,481100.0,469300.0,416400.0,463200.0,481500.0,453300.0
"Hours worked","Self employed","B-E. Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; water supply; sewerage, waste management and remediation activities",109800.0,111100.0,103700.0,111700.0,97600.0,79300.0,84800.0,96900.0,86600.0,73600.0,78500.0,85400.0,88500.0,78800.0,78500.0,91400.0,87400.0,81400.0,80000.0,86900.0,87400.0,78600.0,75800.0,91300.0,102100.0,76800.0,80900.0,90900.0,90800.0,77100.0,89400.0,92100.0,84100.0,79300.0,86700.0,90400.0,80500.0,69300.0,75500.0,81400.0,75700.0,67200.0,69300.0,74800.0,73400.0,64100.0,64800.0,75100.0,72500.0,59400.0
"Hours worked","Self employed","C. Manufacturing",109500.0,110900.0,103500.0,111500.0,96400.0,78200.0,83500.0,95500.0,85100.0,72300.0,77100.0,83800.0,87400.0,77700.0,77100.0,89800.0,86100.0,80100.0,78800.0,85600.0,86300.0,77600.0,74800.0,90200.0,100700.0,75800.0,79600.0,89600.0,89600.0,76200.0,88300.0,91100.0,83100.0,77900.0,84700.0,88300.0,78600.0,67800.0,73900.0,79500.0,74300.0,66000.0,68000.0,73400.0,71700.0,62700.0,63500.0,73400.0,70700.0,57800.0
"Hours worked","Self employed","F. Construction",515600.0,500500.0,461300.0,571000.0,382100.0,346700.0,395700.0,388200.0,321100.0,340500.0,332800.0,384600.0,351700.0,350300.0,402700.0,409400.0,369300.0,380300.0,397400.0,431700.0,406100.0,415400.0,452100.0,414100.0,436700.0,389800.0,405700.0,492000.0,404000.0,377400.0,410900.0,520700.0,467200.0,422500.0,447500.0,470300.0,438500.0,403900.0,449300.0,468200.0,427600.0,390900.0,390600.0,443200.0,433000.0,360700.0,360700.0,412900.0,417000.0,373300.0
"Hours worked","Self employed","G-I. Wholesale and retail trade; repair of motor vehicles and motorcycles; transportation and storage; accommodation and food service activities",420900.0,440000.0,375000.0,459600.0,378100.0,339400.0,374500.0,376000.0,366100.0,345600.0,322000.0,384200.0,384700.0,350900.0,320000.0,401500.0,389200.0,389200.0,339000.0,389800.0,407900.0,370000.0,357200.0,392600.0,419700.0,374400.0,339700.0,406800.0,403700.0,377500.0,359800.0,400700.0,389800.0,386100.0,381300.0,409800.0,405600.0,388000.0,364300.0,389300.0,386100.0,360800.0,376400.0,368900.0,351300.0,373200.0,349000.0,372200.0,374000.0,331300.0
"Hours worked","Self employed","J. Information and communication",104300.0,98700.0,98100.0,112100.0,101200.0,89600.0,95600.0,108800.0,116500.0,92800.0,98900.0,102900.0,129600.0,93700.0,96600.0,108200.0,128100.0,124400.0,125000.0,138500.0,138800.0,123400.0,116800.0,129700.0,155000.0,120300.0,124800.0,142200.0,143300.0,118500.0,124100.0,135300.0,120000.0,111700.0,118800.0,125000.0,113800.0,100800.0,104400.0,107400.0,116400.0,106500.0,101600.0,111800.0,119300.0,104800.0,103600.0,115800.0,120300.0,86500.0
"Hours worked","Self employed","K. Financial and insurance activities",19000.0,17800.0,17500.0,18600.0,17800.0,15800.0,17400.0,18400.0,22000.0,19300.0,20400.0,21500.0,25600.0,17100.0,19400.0,20600.0,19100.0,16500.0,17700.0,18100.0,19600.0,17200.0,16400.0,17400.0,19600.0,15100.0,16000.0,17000.0,18700.0,16100.0,16800.0,18100.0,16900.0,14900.0,15000.0,15800.0,14100.0,11800.0,12300.0,13000.0,14700.0,13500.0,14100.0,15000.0,12200.0,10200.0,10000.0,11800.0,11800.0,8800.0
"Hours worked","Self employed","M-N. Professional, scientific and technical activities; administrative and support service activities",357100.0,377200.0,351800.0,390200.0,355000.0,300900.0,330800.0,371900.0,355300.0,293500.0,294200.0,324900.0,371100.0,283500.0,286700.0,368500.0,362100.0,328500.0,323700.0,377300.0,380100.0,326200.0,329600.0,370800.0,420900.0,315100.0,332200.0,363700.0,382400.0,321000.0,353400.0,377100.0,346100.0,326600.0,379300.0,395200.0,358600.0,323700.0,355000.0,343700.0,367600.0,327000.0,327400.0,353900.0,337700.0,300700.0,338900.0,359900.0,359300.0,285600.0
"Hours worked","Self employed","O-Q. Public administration and defence; compulsory social security; education; human health and social work activities",513700.0,501400.0,464100.0,523200.0,534500.0,457500.0,453100.0,524000.0,466600.0,483700.0,422900.0,481800.0,484100.0,513600.0,419600.0,483000.0,498300.0,483400.0,445400.0,499300.0,533300.0,483200.0,438900.0,477000.0,584100.0,471700.0,444600.0,507300.0,552300.0,482700.0,475900.0,540800.0,519300.0,480200.0,493700.0,555200.0,537200.0,490300.0,483500.0,515300.0,531300.0,480800.0,485000.0,538300.0,561000.0,545000.0,485300.0,581300.0,554200.0,551600.0
"Hours worked","Self employed","R-U. Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",371500.0,340700.0,319200.0,394000.0,393900.0,321800.0,324200.0,358100.0,378100.0,292400.0,320600.0,363800.0,381900.0,323600.0,324700.0,382400.0,374600.0,327600.0,315300.0,363100.0,362700.0,312800.0,319100.0,345000.0,362200.0,290500.0,306300.0,362900.0,365300.0,299600.0,312000.0,314800.0,317900.0,290200.0,316900.0,318300.0,328000.0,297500.0,319900.0,344700.0,344700.0,314400.0,313500.0,348200.0,370200.0,319000.0,319900.0,335800.0,346400.0,276700.0
"Hours worked","Self employed","Total - All activities",2970200.0,2917200.0,2679500.0,3121100.0,2825600.0,2492500.0,2586000.0,2795600.0,2660700.0,2465500.0,2391600.0,2679500.0,2786000.0,2552500.0,2485700.0,2850000.0,2845000.0,2782200.0,2606800.0,2901900.0,2973300.0,2720300.0,2647900.0,2819500.0,3153400.0,2625800.0,2585600.0,2967100.0,2955800.0,2639700.0,2674800.0,2985400.0,2829600.0,2651200.0,2758000.0,2924300.0,2819300.0,2583400.0,2635000.0,2768500.0,2786400.0,2549800.0,2529100.0,2747600.0,2770700.0,2574100.0,2476100.0,2760500.0,2769500.0,2453900.0
