Year,Age,Sex,marital_status,count
1998,104,Total,Unmarried in consensual union,0
1998,105,Total,Unmarried in consensual union,0
1998,106,Total,Unmarried in consensual union,0
1998,107,Total,Unmarried in consensual union,0
1998,108,Total,Unmarried in consensual union,0
1998,109,Total,Unmarried in consensual union,0
1998,Total,Males,Unmarried in consensual union,10592
1998,16,Males,Unmarried in consensual union,0
1998,17,Males,Unmarried in consensual union,4
1998,18,Males,Unmarried in consensual union,19
1998,19,Males,Unmarried in consensual union,53
1998,20,Males,Unmarried in consensual union,89
1998,21,Males,Unmarried in consensual union,153
1998,22,Males,Unmarried in consensual union,261
1998,23,Males,Unmarried in consensual union,321
1998,24,Males,Unmarried in consensual union,520
1998,25,Males,Unmarried in consensual union,627
1998,26,Males,Unmarried in consensual union,576
1998,27,Males,Unmarried in consensual union,585
1998,28,Males,Unmarried in consensual union,600
1998,29,Males,Unmarried in consensual union,572
1998,30,Males,Unmarried in consensual union,562
1998,31,Males,Unmarried in consensual union,569
1998,32,Males,Unmarried in consensual union,581
1998,33,Males,Unmarried in consensual union,459
1998,34,Males,Unmarried in consensual union,477
1998,35,Males,Unmarried in consensual union,413
1998,36,Males,Unmarried in consensual union,352
1998,37,Males,Unmarried in consensual union,351
1998,38,Males,Unmarried in consensual union,347
1998,39,Males,Unmarried in consensual union,287
1998,40,Males,Unmarried in consensual union,250
1998,41,Males,Unmarried in consensual union,231
1998,42,Males,Unmarried in consensual union,180
1998,43,Males,Unmarried in consensual union,161
1998,44,Males,Unmarried in consensual union,140
1998,45,Males,Unmarried in consensual union,96
1998,46,Males,Unmarried in consensual union,76
1998,47,Males,Unmarried in consensual union,86
1998,48,Males,Unmarried in consensual union,61
1998,49,Males,Unmarried in consensual union,41
1998,50,Males,Unmarried in consensual union,51
1998,51,Males,Unmarried in consensual union,45
1998,52,Males,Unmarried in consensual union,30
1998,53,Males,Unmarried in consensual union,37
1998,54,Males,Unmarried in consensual union,24
1998,55,Males,Unmarried in consensual union,23
1998,56,Males,Unmarried in consensual union,17
1998,57,Males,Unmarried in consensual union,11
1998,58,Males,Unmarried in consensual union,21
1998,59,Males,Unmarried in consensual union,13
1998,60,Males,Unmarried in consensual union,10
1998,61,Males,Unmarried in consensual union,13
1998,62,Males,Unmarried in consensual union,13
1998,63,Males,Unmarried in consensual union,14
1998,64,Males,Unmarried in consensual union,18
1998,65,Males,Unmarried in consensual union,9
1998,66,Males,Unmarried in consensual union,13
1998,67,Males,Unmarried in consensual union,12
1998,68,Males,Unmarried in consensual union,11
1998,69,Males,Unmarried in consensual union,7
1998,70,Males,Unmarried in consensual union,14
1998,71,Males,Unmarried in consensual union,8
1998,72,Males,Unmarried in consensual union,8
1998,73,Males,Unmarried in consensual union,7
1998,74,Males,Unmarried in consensual union,8
1998,75,Males,Unmarried in consensual union,6
1998,76,Males,Unmarried in consensual union,6
1998,77,Males,Unmarried in consensual union,6
1998,78,Males,Unmarried in consensual union,6
1998,79,Males,Unmarried in consensual union,4
1998,80,Males,Unmarried in consensual union,6
1998,81,Males,Unmarried in consensual union,3
1998,82,Males,Unmarried in consensual union,3
1998,83,Males,Unmarried in consensual union,4
1998,84,Males,Unmarried in consensual union,1
1998,85,Males,Unmarried in consensual union,3
1998,86,Males,Unmarried in consensual union,2
1998,87,Males,Unmarried in consensual union,1
1998,88,Males,Unmarried in consensual union,2
1998,89,Males,Unmarried in consensual union,1
1998,90,Males,Unmarried in consensual union,0
1998,91,Males,Unmarried in consensual union,0
1998,92,Males,Unmarried in consensual union,0
1998,93,Males,Unmarried in consensual union,0
1998,94,Males,Unmarried in consensual union,0
1998,95,Males,Unmarried in consensual union,0
1998,96,Males,Unmarried in consensual union,0
1998,97,Males,Unmarried in consensual union,1
1998,98,Males,Unmarried in consensual union,0
1998,99,Males,Unmarried in consensual union,0
1998,100,Males,Unmarried in consensual union,0
1998,101,Males,Unmarried in consensual union,0
1998,102,Males,Unmarried in consensual union,0
1998,103,Males,Unmarried in consensual union,0
1998,104,Males,Unmarried in consensual union,0
1998,105,Males,Unmarried in consensual union,0
1998,106,Males,Unmarried in consensual union,0
1998,107,Males,Unmarried in consensual union,0
1998,108,Males,Unmarried in consensual union,0
1998,109,Males,Unmarried in consensual union,0
1998,Total,Females,Unmarried in consensual union,10609
1998,16,Females,Unmarried in consensual union,5
1998,17,Females,Unmarried in consensual union,46
1998,18,Females,Unmarried in consensual union,83
1998,19,Females,Unmarried in consensual union,150
1998,20,Females,Unmarried in consensual union,255
1998,21,Females,Unmarried in consensual union,368
1998,22,Females,Unmarried in consensual union,498
1998,23,Females,Unmarried in consensual union,566
1998,24,Females,Unmarried in consensual union,669
1998,25,Females,Unmarried in consensual union,713
1998,26,Females,Unmarried in consensual union,593
1998,27,Females,Unmarried in consensual union,579
1998,28,Females,Unmarried in consensual union,548
1998,29,Females,Unmarried in consensual union,528
1998,30,Females,Unmarried in consensual union,529
1998,31,Females,Unmarried in consensual union,483
1998,32,Females,Unmarried in consensual union,456
1998,33,Females,Unmarried in consensual union,468
1998,34,Females,Unmarried in consensual union,388
1998,35,Females,Unmarried in consensual union,361
1998,36,Females,Unmarried in consensual union,321
1998,37,Females,Unmarried in consensual union,263
1998,38,Females,Unmarried in consensual union,267
1998,39,Females,Unmarried in consensual union,221
1998,40,Females,Unmarried in consensual union,170
1998,41,Females,Unmarried in consensual union,159
1998,42,Females,Unmarried in consensual union,147
1998,43,Females,Unmarried in consensual union,92
1998,44,Females,Unmarried in consensual union,101
1998,45,Females,Unmarried in consensual union,91
1998,46,Females,Unmarried in consensual union,50
1998,47,Females,Unmarried in consensual union,65
1998,48,Females,Unmarried in consensual union,37
1998,49,Females,Unmarried in consensual union,32
1998,50,Females,Unmarried in consensual union,24
1998,51,Females,Unmarried in consensual union,24
1998,52,Females,Unmarried in consensual union,17
1998,53,Females,Unmarried in consensual union,20
1998,54,Females,Unmarried in consensual union,16
1998,55,Females,Unmarried in consensual union,17
1998,56,Females,Unmarried in consensual union,9
1998,57,Females,Unmarried in consensual union,7
1998,58,Females,Unmarried in consensual union,17
1998,59,Females,Unmarried in consensual union,12
1998,60,Females,Unmarried in consensual union,4
1998,61,Females,Unmarried in consensual union,11
1998,62,Females,Unmarried in consensual union,7
1998,63,Females,Unmarried in consensual union,9
1998,64,Females,Unmarried in consensual union,10
1998,65,Females,Unmarried in consensual union,8
1998,66,Females,Unmarried in consensual union,5
1998,67,Females,Unmarried in consensual union,9
1998,68,Females,Unmarried in consensual union,12
1998,69,Females,Unmarried in consensual union,7
1998,70,Females,Unmarried in consensual union,6
