"Quarter","Duration","Number","%"
"2010Q2","1-2 months",2900,18.2
"2010Q2","3-5 months",2300,14.1
"2010Q2","6 to 11 months",2800,17.2
"2010Q2","12 months or more",2700,16.9
"2010Q3","Unemployed",11700,100.0
"2010Q3","Already found work",600,4.7
"2010Q3","Less than one month",1900,16.4
"2010Q3","1-2 months",2000,16.8
"2010Q3","3-5 months",1900,16.5
"2010Q3","6 to 11 months",2600,22.6
"2010Q3","12 months or more",2700,23.1
"2010Q4","Unemployed",13200,100.0
"2010Q4","Already found work",800,5.8
"2010Q4","Less than one month",1800,13.8
"2010Q4","1-2 months",2800,21.1
"2010Q4","3-5 months",2500,18.8
"2010Q4","6 to 11 months",2200,16.4
"2010Q4","12 months or more",3200,24.2
"2011Q1","Unemployed",13700,100.0
"2011Q1","Already found work",200,1.6
"2011Q1","Less than one month",2500,18.2
"2011Q1","1-2 months",2400,17.7
"2011Q1","3-5 months",2300,16.7
"2011Q1","6 to 11 months",2500,18.0
"2011Q1","12 months or more",3800,27.8
"2011Q2","Unemployed",15800,100.0
"2011Q2","Already found work",3200,20.5
"2011Q2","Less than one month",2100,13.4
"2011Q2","1-2 months",2800,18.0
"2011Q2","3-5 months",2400,15.2
"2011Q2","6 to 11 months",1300,8.5
"2011Q2","12 months or more",3800,24.4
"2011Q3","Unemployed",10600,100.0
"2011Q3","Already found work",400,3.9
"2011Q3","Less than one month",1900,18.3
"2011Q3","1-2 months",1600,15.1
"2011Q3","3-5 months",2200,20.8
"2011Q3","6 to 11 months",1400,13.6
"2011Q3","12 months or more",3000,28.3
"2011Q4","Unemployed",10600,100.0
"2011Q4","Already found work",300,3.0
"2011Q4","Less than one month",2000,19.1
"2011Q4","1-2 months",2900,27.4
"2011Q4","3-5 months",1800,17.2
"2011Q4","6 to 11 months",900,8.4
"2011Q4","12 months or more",2600,25.0
"2012Q1","Unemployed",12600,100.0
"2012Q1","Already found work",700,5.3
"2012Q1","Less than one month",3000,23.4
"2012Q1","1-2 months",2100,17.0
"2012Q1","3-5 months",2700,21.0
"2012Q1","6 to 11 months",1400,11.5
"2012Q1","12 months or more",2800,21.8
"2012Q2","Unemployed",13300,100.0
"2012Q2","Already found work",2100,15.8
"2012Q2","Less than one month",2200,16.4
"2012Q2","1-2 months",2600,19.8
"2012Q2","3-5 months",2400,18.2
"2012Q2","6 to 11 months",1100,8.6
"2012Q2","12 months or more",2800,21.2
"2012Q3","Unemployed",9100,100.0
"2012Q3","Already found work",600,6.1
"2012Q3","Less than one month",1700,19.1
"2012Q3","1-2 months",1200,13.2
"2012Q3","3-5 months",1300,14.6
"2012Q3","6 to 11 months",1000,11.5
"2012Q3","12 months or more",3200,35.6
"2012Q4","Unemployed",8400,100.0
"2012Q4","Already found work",400,4.2
"2012Q4","Less than one month",1400,16.8
"2012Q4","1-2 months",2000,23.3
"2012Q4","3-5 months",800,9.1
"2012Q4","6 to 11 months",1500,17.3
"2012Q4","12 months or more",2500,29.3
"2013Q1","Unemployed",10300,100.0
"2013Q1","Already found work",100,0.6
"2013Q1","Less than one month",1700,16.9
"2013Q1","1-2 months",2800,27.3
"2013Q1","3-5 months",2100,20.3
"2013Q1","6 to 11 months",1000,9.8
"2013Q1","12 months or more",2600,25.0
"2013Q2","Unemployed",12800,100.0
"2013Q2","Already found work",1900,15.2
"2013Q2","Less than one month",2700,21.3
"2013Q2","1-2 months",2700,21.1
"2013Q2","3-5 months",2100,16.7
"2013Q2","6 to 11 months",1300,10.5
"2013Q2","12 months or more",2000,15.3
"2013Q3","Unemployed",8200,100.0
"2013Q3","Already found work",500,6.1
"2013Q3","Less than one month",1800,22.2
"2013Q3","1-2 months",1900,23.2
"2013Q3","3-5 months",900,10.5
