Year,Month,Citizenship,n_passengers
2002,Dec,Australia / New Zealand,
2002,Dec,U.S.A.,1767
2002,Dec,Belgium,
2002,Dec,U.K.,1816
2002,Dec,Denmark,855
2002,Dec,Estonia / Latvia / Lithuania,
2002,Dec,Finland,212
2002,Dec,France,358
2002,Dec,Netherlands,286
2002,Dec,Hong Kong,
2002,Dec,India,
2002,Dec,Ireland,
2002,Dec,Israel,
2002,Dec,Italy,104
2002,Dec,Japan,169
2002,Dec,Canada,96
2002,Dec,China,
2002,Dec,Norway,1102
2002,Dec,Poland,
2002,Dec,Russia,
2002,Dec,Singapore,
2002,Dec,Spain,107
2002,Dec,South Korea,
2002,Dec,Switzerland,79
2002,Dec,Sweden,1242
2002,Dec,Taiwan,
2002,Dec,Germany,654
2002,Dec,Other countries,1745
2003,Jan,Passenger total,30556
2003,Jan,Iceland,17859
2003,Jan,Foreigners,12697
2003,Jan,Austria,
2003,Jan,Australia / New Zealand,
2003,Jan,U.S.A.,2451
2003,Jan,Belgium,
2003,Jan,U.K.,2927
2003,Jan,Denmark,763
2003,Jan,Estonia / Latvia / Lithuania,
2003,Jan,Finland,194
2003,Jan,France,412
2003,Jan,Netherlands,294
2003,Jan,Hong Kong,
2003,Jan,India,
2003,Jan,Ireland,
2003,Jan,Israel,
2003,Jan,Italy,222
2003,Jan,Japan,385
2003,Jan,Canada,125
2003,Jan,China,
2003,Jan,Norway,1075
2003,Jan,Poland,
2003,Jan,Russia,
2003,Jan,Singapore,
2003,Jan,Spain,125
2003,Jan,South Korea,
2003,Jan,Switzerland,104
2003,Jan,Sweden,973
2003,Jan,Taiwan,
2003,Jan,Germany,784
2003,Jan,Other countries,1863
2003,Feb,Passenger total,26738
2003,Feb,Iceland,13790
2003,Feb,Foreigners,12948
2003,Feb,Austria,
2003,Feb,Australia / New Zealand,
2003,Feb,U.S.A.,1990
2003,Feb,Belgium,
2003,Feb,U.K.,3605
2003,Feb,Denmark,917
2003,Feb,Estonia / Latvia / Lithuania,
2003,Feb,Finland,290
2003,Feb,France,631
2003,Feb,Netherlands,458
2003,Feb,Hong Kong,
2003,Feb,India,
2003,Feb,Ireland,
2003,Feb,Israel,
2003,Feb,Italy,108
2003,Feb,Japan,238
2003,Feb,Canada,93
2003,Feb,China,
