"Year","Sex","Age","Rate of individuals (%)","Rate lower bounds (%)","Rate upper bounds (%)","Number of individuals","Number lower bounds","Number upper bounds"
"2010","Total","45-54 years old",7.8,6.0,9.8,3253,2519,4104
"2010","Total","55-64 years old",3.3,2.1,4.7,1056,694,1523
"2010","Total","65 + years old",4.9,3.3,6.9,1798,1215,2533
"2010","Female","Total",9.8,8.7,10.9,14807,13220,16501
"2010","Female","0-15 years old",13.2,10.9,15.7,4564,3779,5435
"2010","Female","16-24 years old",17.3,13.6,21.4,3288,2584,4083
"2010","Female","25-34 years old",13.3,9.9,17.3,2750,2050,3567
"2010","Female","35-44 years old",6.6,4.6,9.2,1357,940,1871
"2010","Female","45-54 years old",5.4,3.6,7.8,1144,758,1634
"2010","Female","55-64 years old",2.6,1.3,4.5,427,220,731
"2010","Female","65 + years old",6.6,4.1,9.8,1277,799,1901
"2010","Male","Total",9.8,8.8,11.0,14885,13270,16611
"2010","Male","0-15 years old",12.7,10.4,15.1,4505,3716,5381
"2010","Male","16-24 years old",12.5,9.6,15.9,2512,1930,3184
"2010","Male","25-34 years old",13.3,9.9,17.2,2744,2045,3561
"2010","Male","35-44 years old",9.0,6.2,12.5,1863,1281,2581
"2010","Male","45-54 years old",10.2,7.3,13.7,2109,1515,2823
"2010","Male","55-64 years old",3.9,2.2,6.3,630,355,1012
"2010","Male","65 + years old",3.0,1.4,5.5,521,239,960
"2011","Total","Total",9.2,8.5,10.0,27645,25413,29990
"2011","Total","0-15 years old",11.6,10.0,13.4,7926,6818,9131
"2011","Total","16-24 years old",12.8,10.7,15.3,5066,4205,6018
"2011","Total","25-34 years old",14.6,12.0,17.4,5847,4807,7001
"2011","Total","35-44 years old",6.9,5.2,9.0,2788,2096,3604
"2011","Total","45-54 years old",6.7,5.1,8.5,2773,2121,3535
"2011","Total","55-64 years old",4.9,3.4,6.8,1649,1134,2292
"2011","Total","65 + years old",4.3,2.9,6.1,1597,1067,2269
"2011","Female","Total",9.5,8.4,10.6,14205,12613,15912
"2011","Female","0-15 years old",12.6,10.2,15.3,4219,3416,5121
"2011","Female","16-24 years old",13.6,10.4,17.3,2621,2008,3327
"2011","Female","25-34 years old",16.5,12.7,20.9,3307,2540,4183
"2011","Female","35-44 years old",7.3,4.9,10.3,1471,987,2080
"2011","Female","45-54 years old",4.8,3.2,7.0,1013,659,1468
"2011","Female","55-64 years old",3.0,1.6,5.0,498,262,841
"2011","Female","65 + years old",5.5,3.3,8.5,1077,648,1650
"2011","Male","Total",9.0,7.9,10.1,13439,11910,15082
"2011","Male","0-15 years old",10.7,8.6,13.1,3707,2974,4536
"2011","Male","16-24 years old",12.1,9.2,15.4,2445,1868,3112
"2011","Male","25-34 years old",12.7,9.3,16.6,2540,1873,3325
"2011","Male","35-44 years old",6.6,4.3,9.5,1316,858,1901
"2011","Male","45-54 years old",8.6,6.0,11.7,1760,1241,2394
"2011","Male","55-64 years old",6.8,4.3,10.2,1151,719,1715
"2011","Male","65 + years old",3.0,1.4,5.2,520,254,920
"2012","Total","Total",7.9,7.2,8.7,23765,21695,25950
"2012","Total","0-15 years old",10.6,9.0,12.4,7334,6229,8547
"2012","Total","16-24 years old",9.6,7.7,11.8,3745,3004,4585
"2012","Total","25-34 years old",11.8,9.4,14.4,4561,3651,5590
"2012","Total","35-44 years old",7.8,6.0,9.9,3070,2364,3891
